Title,Item number,Quantity
"1/2p Bracelet Charm  - 1971,1973,1974,1975,1976,1977,1978,1979,1981,1982,1983",233188703920,10
"1/2p Pendant 18in chain - 1971,1973,1974,1975,1976,1977,1978,1979,1981,1982,1983",333143892542,9
103 year old Silver threepence coin cufflinks - Century old 1918 birthday 103rd,232786690653,1
103rd Birthday 1918 Silver threepence Silver coin pendant 8 inch S/Silver chain,332535694455,1
105th 1916 Birthday Silver threepence coin Silver pendant @ 18 inch SS chain,231215013441,1
105th Birthday Silver threepence coin cufflinks - 1916 silver coins cufflinks,331923892710,1
11th Wedding Anniversary  Cufflinks - Steel Wedding Anniversary Cufflinks 2010,232207269217,27
11th Wedding Anniversary  Cufflinks - Steel Wedding Anniversary Cufflinks gift,231130871064,31
12th Pottery 2009 wedding anniversary Spanish 1 Cent Cathedral Coin Cufflinks Bx,332334013151,10
13th Lace  Wedding Anniversary - 2008 Wedding Anniversary Cufflinks ,232626255685,181
13th Lace 2008 Wedding Anniversary American dime cufflinks  2008 Wedding ,232630844986,24
13th Wedding Anniversary  Cufflinks - Lace Wedding Anniversary Cufflinks gift,231009691590,3
14th 2007 Ivory Wedding Anniversary - 2007 14th Wedding Anniversary Cufflinks,232207255920,186
14th Ivory 2007 Wedding Anniversary American dime cufflinks  2007 Wedding 14th,332438715198,29
15th Wedding Anniversary  Cufflinks - Crytsal Wedding Anniversary Cufflinks gift,331840374381,2
16th Wedding Anniversary  Cufflinks - Crystal Wedding Anniversary Cufflinks gift,231867371564,3
16th Wedding Anniversary 2005 American dime coin cufflinks,332092963495,11
16th Wedding Anniversary 2005 Canadian dime coin cufflinks ,333325776592,1
17th Wedding Anniversary 2004 American dime coin cufflinks - Great Gift ,232916262226,1
1914 105th  Birthday Silver threepence coin Silver pendant @ 18 inch SS chain,331186663765,1
1914 Silver Threepence 105th  Birthday Sterling Silver Pendant & 18 in SS Chain,331286209876,1
1915 106th Birthday Silver threepence coin Silver plated pendant 18 inch chain,232033175146,1
1916 105th Birthday Silver threepence coin Silver plated pendant 18 inch chain,331923903531,1
1917 104th Birthday Silver threepence coin Silver pendant @ 18 inch SS chain,232207428497,1
1918 103rd Birthday Silver threepence coin Silver plated pendant 18 inch SS ch,332626882678,1
1919 101st Birthday Silver threepence coin Silver pendant @ 18 inch SS chain,233256682684,1
1919 101st Birthday Silver threepence coin Silver plated pendant 18 inch SS chan,233154763941,1
1919 101st Birthday Silver threepence coin Silver plated pendant 18 inch SS chan,233122805717,1
1920 101st Birthday / Anniversary sixpence coin Silver pendant @ 18inch SS ch,233545701445,1
1920 101st Birthday Silver threepence coin Silver pendant @ 18 inch SS chain,233527994931,1
1921 100th Birthday / Anniversary sixpence coin Silver pendant @ 18inch SS chain,231215020822,1
1922 99th Birthday / Anniversary sixpence coin Silver pendant @ 18inch SS chain,231215020838,1
1922 99th Birthday Silver threepence coin Silver pendant @ 18 inch SS chain,331186670326,1
1925 96th Birthday Silver threepence coin Silver plated pendant 16 inch SS chain,331714727546,1
1926 95th Birthday Silver threepence coin Silver plated pendant 18inch SS chain,231761625051,1
1928 93rd Birthday Silver threepence coin Silver plated pendant an 18 inch chain,232630226545,1
1930 91st Birthday Silver threepence coin Silver plated pendant 18 inch chain,232377458832,4
1931 90th Birthday Silver threepence coin Silver plated pendant an 18 inch chain,332799387677,1
1931 90th Birthday Threepence coin bracelet charm ready to hang 1931 gift,230951916913,9
1931 90th Lucky Sixpence Domed Sixpence Birthday Anniversary 1928-1937 18in ch,233491356248,89
1931 90th Lucky Sixpence Domed Sixpence Birthday Anniversary 1928-1937 Keyring,233491358475,7
1931 90th Lucky Sixpence Fine Sixpence Birthday Anniversary 1928-1937 18in ch,233491372227,8
1932 89th Birthday Silver threepence coin Silver plated pendant â€ 18 inch chain,331375605410,1
1933 88th Birthday Silver threepence coin cufflinks - Great gift idea,231111978672,1
1934 87th Birthday Threepence coin bracelet charm ready to hang 1934 gift,333928473845,8
1935 86th Birthday Silver threepence coin Silver plated pendant 18 inch chain,231386958515,1
1935 86th Birthday Threepence coin bracelet charm ready to hang 1935 gift,331098732678,5
1936 85th Birthday Silver threepence coin cufflinks - Great gift idea,232036529627,9
1936 85th Birthday Threepence coin bracelet charm ready to hang 1936 gift,230951915051,6
1937 84th Birthday Silver threepence coin cufflinks - Great gift idea present,232273065247,1
1938 83rd Birthday Silver threepence coin cufflinks - Great gift idea,232722596162,3
1938 83rd Birthday Silver threepence coin Silver plated pendant 18 inch chain,232630225213,1
1938 83rd Birthday Silver threepence coin Silver plated pendant 18 inch chain,233118180443,1
1938 83rd lucky sixpence coin bracelet charm ready to hang 1938 gift,330896011954,8
1938 Lucky sixpence coin 83rd Birthday Pendant & Chain - 83rd birthday 1938 coin,230904301385,9
1939 82nd Birthday lucky sixpence coin bracelet charm ready to hang 1939 gift,330896011512,7
1939 82nd Birthday Silver threepence coin Silver plated pendant a 18 inch chain,331375605598,1
1939 Silver Threepence Coin 82nd Birthday Pendant & Chain - 82nd birthday 1939,333290432798,1
1939 Silver Threepence coin earrings - Great Gift for 82nd birthday,330899443133,5
1941 80th Birthday Anniversary Farthing Domed Keyring 1937 - 1956,333510956126,95
1941 80th Birthday Anniversary Farthing Domed Pendant 1937 - 1956 18in Chain,333510958195,99
1941 80th Birthday Silver threepence coin cufflinks - Great gift idea,233112451736,2
1941 80th Birthday Silver threepence coin cufflinks - Great gift idea,232599273776,1
1941 80th birthday Threepence 3d Cufflinks WOW ideal 80th 1941 Birthday gift,231128303762,10
1941 80th Birthday Threepence keyring - 80th birthday 1941 threepence coin,233484504176,40
1941 Threepence 3d 80th birthday Cufflinks - 80th birthday 1941 coin slv,233154759327,19
1941 Two Tone Farthing Coin Cufflinks 80th Birthday 80th birthday 1941 coins,330777783291,7
1941 Two Tone Farthing Coin Cufflinks 80th Birthday 80th birthday 1941 Rose,233194242195,8
1941 Two Tone Farthing Coin Cufflinks 80th Birthday 80th birthday 1941 Roseg,233467688032,10
1942 79th Birthday lucky sixpence coin bracelet charm ready to hang 1942 gift,230952406792,9
1942 79th Birthday Threepence keyring - 79th birthday 1942 coin keyring,331098850285,21
1942 Threepence 3d 79th birthday Cufflinks - 79th birthday 1942 cufflinks boxed,331098848512,7
1943 78th Birthday Irish Threepence coin cufflinks - Great gift idea 1943 3d,232584697668,1
1943 78th Birthday lucky sixpence coin bracelet charm ready to hang 1943 gift,231128383802,7
1943 78th Birthday Threepence keyring - 78th birthday 1943 threepence coin,231128387035,37
1944 77th Birthday lucky sixpence coin bracelet charm ready to hang 1944 gift,330896009195,2
1945 76th Birthday lucky sixpence coin bracelet charm ready to hang 1945 gift,330896008720,2
1947 74th Birthday lucky sixpence coin bracelet charm ready to hang 1947 gift,231128695953,6
1947 74th Lucky Sixpence Domed Pendant + 18in SS Birthday Anniversary 1947-1951,233513375834,4
1947 74th Lucky Sixpence Domed Sixpence Charm Birthday  Anniversary 1947-1951,333534282938,4
1947 74th Lucky Sixpence Domed Sixpence Keyring Birthday  Anniversary 1947-1951,233513376475,50
1948 73rd Birthday lucky sixpence coin bracelet charm ready to hang 1948 gift,231128727883,8
