,listing_id,state,user_id,category_id,title,description,creation_tsz,ending_tsz,original_creation_tsz,last_modified_tsz,price,currency_code,quantity,sku,tags,materials,shop_section_id,featured_rank,state_tsz,url,views,num_favorers,shipping_template_id,processing_min,processing_max,who_made,is_supply,when_made,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,is_private,recipient,occasion,style,non_taxable,is_customizable,is_digital,file_data,should_auto_renew,language,has_variations,taxonomy_id,taxonomy_path,used_manufacturer,is_vintage
0,185064051,active,17905617,,Fancy Pendant 1951 Lucky sixpence 70th Birthday plus a Sterling Silver 18in Chain 70th birthday gift for her,"Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1951 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1951 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 70th Birthday / Anniversary 

This item will make a nice gift or to celebrate the year of your birth.",1610989116,1621353516,1396606060,1610989116,29.98,USD,1,[],"['pendant', 'silver', 'lucky', '1951', '1951 birthday gift', '1951 gift', 'coin jewellery', 'coin jewelry', 'born in 1951', 'mothers day', '67th birthday gift', '70th birthday gift', '70th for dad']","['sixpence', '1951 sixpence']",11743680.0,8.0,1596445787,https://www.etsy.com/listing/185064051/fancy-pendant-1951-lucky-sixpence-70th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,357,7,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,women,birthday,,False,True,False,,True,en-US,False,1229,"['Jewelry', 'Necklaces', 'Pendants']",False,False
1,933536431,active,17905617,,"50th Birthday 1971 Birthday Old One Pence Coin Cufflinks, 1971 50th birthday, 50th mens gift, gift for him, Fathers Day Gift, Dads 50th","50th Birthday 1971 Old one pence Coin Cufflinks.
A Fantastic gift for a 50th birthday.

These are circulated and polished 1971 old one pence coins handmade into cufflinks

Supplied in a quality cufflink box",1610924501,1621288901,1609318269,1610927745,34.98,USD,37,[],"['birthday cufflinks', 'Gift for Men', 'Fathers Day Gift', 'Gift for Dad', 'born in 1971', '1971 gift idea', '1971 birthday gift', 'gift for him', '50th birthday', '50th gift idea', '50th dad', '50th birthday dad', '50th mens birthday']",['1971 One Pence Coin Cufflink'],,,1610829290,https://www.etsy.com/listing/933536431/50th-birthday-1971-birthday-old-one?utm_source=bulkupload&utm_medium=api&utm_campaign=api,77,6,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,men,,,False,True,False,,True,en-US,False,57,"['Accessories', 'Suit & Tie Accessories', 'Cuff Links & Tie Clips']",False,False
2,770787425,active,17905617,,91st Birthday 1930 Farthing Coin Cufflinks - 1930 91st birthday cufflinks Gld,"91st Birthday 1930 Farthing Coin Cufflinks.

A Fantastic gift for a 91st birthday.


These are genuine circulated 1930 Farthing coins handmade into cufflinks



Supplied in a quality cufflink box",1610922649,1621287049,1579187160,1610922649,29.98,USD,1,[],"['mens gift', 'farthing', '1930', '1930 birthday gift', '90th birthday gift', '90 yeas old', 'gift from 1930', 'Antique cufflinks', 'gift for dad', 'gift for him', '91st birthday']",['1930 farthing'],11743690.0,,1596445773,https://www.etsy.com/listing/770787425/91st-birthday-1930-farthing-coin?utm_source=bulkupload&utm_medium=api&utm_campaign=api,20,0,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,men,,,False,True,False,,True,en-US,False,1179,['Jewelry'],False,False
3,185085426,active,17905617,,Floral Pendant 1967 Lucky sixpence 54th Birthday plus a Sterling Silver 18in Chain 54th birthday gift for her,"Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1967 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1967 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 54th Birthday / Anniversary 

This item will make a nice gift or to celebrate the year of your birth.",1610910078,1621274478,1396630067,1610910078,26.98,USD,6,[],"['pendant', 'silver', 'sixpence', 'lucky', 'coin pendant', '1967 birthday', '1967', '1967 gift', '1967 birthday gift', 'mothers day', '54th birthday gift']","['silver plated backs', 'sixpence', '1967 coin']",11743680.0,,1596445774,https://www.etsy.com/listing/185085426/floral-pendant-1967-lucky-sixpence-54th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,150,5,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,women,,,False,True,False,,True,en-US,False,1229,"['Jewelry', 'Necklaces', 'Pendants']",False,False
4,502504651,active,17905617,,"Domed Pendant 1967 Lucky sixpence 54th Birthday plus a Sterling Silver 18in Chain, 1967 gift, 1967 birthday, 54th gift, 54th birthday","Genuine Circulated Sixpence domed with a 18 inch Sterling silver chain 1967 coin
This is a stunning piece of jewellery that would suit all ages. 



Supplied with lovely gift box

Ideal present for a 54th Birthday / Anniversary 


This item will make a nice gift or to celebrate the year of your birth. 1967",1610907060,1621271460,1483375655,1610907060,21.98,USD,10,[],"['pendant', 'sixpence', 'lucky', '51st birthday gift', '1967 birthday gift', '1967', '1967 gift', '1967 birthday', 'born in 1967', '1967 pendant', '1967 fancy pendant', '54th birthday gift']",['Silver'],11743680.0,,1596445774,https://www.etsy.com/listing/502504651/domed-pendant-1967-lucky-sixpence-54th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,119,5,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,women,,,False,True,False,,True,en-US,False,1229,"['Jewelry', 'Necklaces', 'Pendants']",False,False
5,118862642,active,17905617,,Fancy Pendant 1961 Lucky sixpence 60th Birthday plus a Sterling Silver 18in Chain 60th birthday gift for her,"Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1961 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1961 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 60th Birthday / Anniversary 

Picture shows 1962 - You will receive 1961

This item will make a nice gift or to celebrate the year of your birth.",1610906188,1621270588,1356624719,1610906188,29.98,USD,5,[],"['pendant', 'silver', 'sixpence', 'lucky', '1961', '1961 gift', '1961 birthday', '1961 birthday gift', 'mothers day', '60th', '60th birthday gift', '60th gift for her']","['coins', '1961 sixpence']",11743680.0,,1596445730,https://www.etsy.com/listing/118862642/fancy-pendant-1961-lucky-sixpence-60th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,261,14,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,women,,,False,True,False,,True,en-US,False,1229,"['Jewelry', 'Necklaces', 'Pendants']",False,False
6,930216128,active,17905617,,1971 50th Birthday / Anniversary American Dime coin cufflinks - Irish Five Pence cufflinks from 1971 for a 50th birthday Silver,"1971 for a 50th birthday present

A pair of original American Dime coin cufflinks - American Dime coin cufflinks from 1971 for a 50th birthday present

These are large coins

Original coins from 1971 have been cleaned and polished and handmade into beautiful cufflinks.


Premium  cufflink backs have been used.

The cufflinks will arrive in a cufflink box",1610896151,1621260551,1610896151,1610899762,39.98,USD,2,[],"['mens cufflinks', 'Fathersday Gift Idea', 'Gift for Him', 'gift for 51st', 'gift from 1971', '1971 birthday gift', '1971 gift idea', '50th birthday', '50th gift idea', '50th dad', '50th gift for dad', '50th gift for him']","['1971 American Dime Coin Cufflinks', 'Silver Plated Cufflink backs', 'Cufflink Box']",,,1610896151,https://www.etsy.com/listing/930216128/1971-50th-birthday-anniversary-american?utm_source=bulkupload&utm_medium=api&utm_campaign=api,4,0,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,men,,"['Traditional', 'Renaissance']",False,True,False,,True,en-US,False,1781,"['Weddings', 'Jewelry', 'Cuff Links & Tie Clips', 'Cuff Links']",False,False
7,570321562,active,17905617,,Fancy Pendant 1939 Lucky sixpence 82nd Birthday plus a Sterling Silver 20in Chain 82nd birthday gift for her,"Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 20 inch Sterling silver chain 1939 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1939 polished sixpence mounted Tibetan Silver mount  on a 20 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 82nd Birthday / Anniversary 

This item will make a nice gift or to celebrate the year of your birth.",1610857245,1621221645,1515107083,1610857245,34.98,USD,6,[],"['1939 Birthday Gift', 'Mothers Day Gift', 'Mothers Day Idea', 'Gift for Mom', 'Gift for Mum', 'Gift for Nan', 'Wedding Gift', 'Birthday Gift', '82nd birthday gift']",['1939 Silver Sixpence Coin Pendant'],11743680.0,,1596445774,https://www.etsy.com/listing/570321562/fancy-pendant-1939-lucky-sixpence-82nd?utm_source=bulkupload&utm_medium=api&utm_campaign=api,290,7,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,women,,,False,True,False,,True,en-US,False,1229,"['Jewelry', 'Necklaces', 'Pendants']",False,False
8,118862582,active,17905617,,Fancy Pendant 1960 Lucky sixpence 61st Birthday plus a Sterling Silver 18in Chain,"Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1960 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1960 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 61st Birthday / Anniversary 



This item will make a nice gift or to celebrate the year of your birth.",1610853040,1621217440,1356624672,1610853040,27.98,USD,7,[],"['pendant', 'silver', 'sixpence', 'lucky', '1960', '1960 gift', '1960 birthday gift', '1960 birthday', 'mothers day', '60th birthday gift', '61st birthday']","['coins', '1960 sixpence']",11743680.0,,1596445775,https://www.etsy.com/listing/118862582/fancy-pendant-1960-lucky-sixpence-61st?utm_source=bulkupload&utm_medium=api&utm_campaign=api,308,7,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,women,,,False,True,False,,True,en-US,False,1229,"['Jewelry', 'Necklaces', 'Pendants']",False,False
9,570323278,active,17905617,,Fine Pendant 1938 Lucky sixpence 83rd Birthday plus a Sterling Silver 18in Chain 83rd birthday gift for her,"Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1938 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1938 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 83rd Birthday / Anniversary 

This item will make a nice gift or to celebrate the year of your birth.",1610840482,1621204882,1515107520,1610840482,34.98,USD,2,[],"['pendant', 'silver', 'lucky', 'coin jewellery', 'coin jewelry', 'coin pendant', '1938', '1938 gift', '1938 gift idea', '83rd birthday gift']","['sixpence', '1938 sixpence']",11743680.0,,1596445775,https://www.etsy.com/listing/570323278/fine-pendant-1938-lucky-sixpence-83rd?utm_source=bulkupload&utm_medium=api&utm_campaign=api,61,2,40038938742.0,1,2,i_did,false,made_to_order,,oz,,,,in,False,women,,,False,True,False,,True,en-US,False,1229,"['Jewelry', 'Necklaces', 'Pendants']",False,False
